id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,last_fico_range_high,last_fico_range_low,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_fico_range_low,sec_app_fico_range_high,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,disbursement_method,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term
72593934,,12000,12000,12000, 36 months,7.39,372.67,A,A4,Pharmacist,< 1 year,MORTGAGE,100000,Source Verified,Mar-16,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=72593934,,credit_card,Credit card refinancing,681xx,NE,29.62,1,Apr-87,700,704,1,13,,15,0,11655,42.2,49,w,0,0,13349.39823,13349.4,12000,1349.4,0,0,0,Aug-18,2924.49,,Mar-19,789,785,0,,1,Individual,,,,0,0,399139,0,6,1,1,7,226946,93,0,0,3010,64,27600,1,1,5,1,28510,2527,77.4,0,0,125,346,36,7,2,61,,5,,0,4,7,4,8,30,8,17,7,15,0,0,0,1,95.7,75,0,0,435862,238601,11200,237414,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
72694089,,26000,26000,26000, 36 months,5.32,782.99,A,A1,Firmwide Director of Attorney Recruiting,10+ years,OWN,157500,Not Verified,Mar-16,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=72694089,,debt_consolidation,Debt consolidation,190xx,PA,20.72,0,Dec-98,775,779,0,,,7,0,29494,7.6,26,w,0,0,28175.59407,28175.59,26000,2175.59,0,0,0,Jan-19,2344.6,,Feb-19,759,755,0,,1,Individual,,,,0,0,453131,0,3,0,2,19,71156,47,0,1,26538,29,81000,0,0,0,3,64733,51506,7.6,0,0,138,206,23,19,5,23,,,,0,2,2,3,7,14,3,7,2,7,0,0,0,0,100,0,0,0,552333,100650,81000,102830,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
72663918,,22000,22000,22000, 36 months,9.75,707.3,B,B3,sales executive,10+ years,RENT,68000,Verified,Feb-16,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=72663918,,credit_card,Credit card refinancing,606xx,IL,9.92,0,Jan-82,685,689,0,,,3,0,21914,110.7,4,w,0,0,25450.82599,25450.83,22000,3450.83,0,0,0,Feb-19,707.25,,Mar-19,739,735,0,,1,Individual,,,,0,0,21914,0,0,0,0,112,0,,1,1,9416,111,19800,0,1,1,1,7305,166,98.9,0,0,112,409,10,10,0,10,,10,,0,2,3,2,2,1,3,3,3,3,0,0,0,1,100,100,0,0,19800,21914,14500,0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
72782161,,16000,16000,16000, 60 months,11.99,355.84,C,C1,Removable manager,5 years,RENT,54000,Not Verified,Mar-16,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=72782161,,debt_consolidation,,337xx,FL,21.89,0,Sep-95,665,669,0,,82,6,1,3608,34,25,w,0,0,19817.02774,19817.03,16000,3817.03,0,0,0,Aug-18,9864.17,,Jan-19,709,705,0,,1,Individual,,,,0,0,37253,0,2,1,3,10,33609,80,0,0,2114,70,10600,4,2,6,4,6209,1186,64.1,0,0,129,210,36,10,4,76,,1,,0,1,3,1,3,11,3,8,3,6,0,0,0,1,100,0,1,0,52911,37253,3300,42268,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
72574066,,28000,28000,28000, 36 months,6.97,864.18,A,A3,conductor,10+ years,MORTGAGE,212000,Source Verified,Mar-16,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=72574066,,credit_card,Credit card refinancing,117xx,NY,31.75,0,Jan-97,730,734,0,,,20,0,307958,40.4,47,w,0,0,30547.37569,30547.38,28000,2547.38,0,0,0,Nov-17,14090.01,,Mar-19,569,565,0,,1,Individual,,,,0,0,551252,1,5,1,4,11,96588,61,1,4,12294,52,440100,1,5,0,8,27563,32265,44.6,0,0,110,229,4,4,2,4,,13,,0,7,11,7,17,14,14,31,11,20,0,0,0,2,100,42.9,0,0,764557,404546,69200,153807,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
72634133,,24000,24000,24000, 60 months,13.67,554.35,C,C3,Network Engineer,3 years,MORTGAGE,110000,Not Verified,Feb-16,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=72634133,,debt_consolidation,Debt consolidation,961xx,CA,17.75,3,Oct-90,680,684,1,2,,5,0,14721,94.4,28,w,0,0,29023.33299,29023.33,24000,5023.33,0,0,0,Nov-17,17964.22,,Aug-18,719,715,1,6,1,Individual,,,,0,0,257012,1,1,0,1,15,15893,64,0,0,14721,75,15600,2,4,6,3,64253,0,100.8,0,0,166,304,25,4,3,80,2,4,2,2,1,1,2,7,6,3,17,1,5,0,0,1,1,96,100,0,0,267650,30614,14600,25000,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
72604558,,5000,5000,5000, 36 months,10.75,163.11,B,B4,Financial Sales consultant,1 year,OWN,40000,Source Verified,Feb-16,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=72604558,,debt_consolidation,Debt consolidation,153xx,PA,32.59,1,Aug-06,700,704,0,6,,9,0,10215,80.4,27,w,0,0,5603.212441,5603.21,5000,603.21,0,0,0,Jul-17,3159.55,,Mar-19,659,655,0,6,1,Individual,,,,0,0,71482,1,7,1,3,4,61267,84,1,2,9253,83,12700,1,2,3,5,7942,2485,80.4,1,0,113,114,10,4,0,10,6,1,6,1,2,2,2,6,16,2,11,2,9,0,0,1,2,100,100,0,0,85933,71482,12700,73233,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
72554074,,14300,14300,14300, 60 months,13.67,330.3,C,C3,Team Lead tape operations,9 years,MORTGAGE,36899,Source Verified,Feb-16,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=72554074,,debt_consolidation,Debt consolidation,109xx,NY,28.76,0,Jun-98,690,694,1,,,11,0,17508,56.7,29,w,0,0,17381.38451,17381.38,14300,3081.38,0,0,0,Nov-17,10786.24,,Mar-19,739,735,0,,1,Individual,,,,0,0,97724,1,1,0,1,24,16288,74,1,2,4302,64,30900,0,0,2,3,8884,3634,70.9,0,0,139,212,6,6,2,20,,5,,0,4,9,4,7,9,9,18,9,11,0,0,0,1,100,75,0,0,122998,33796,12500,22098,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
72614018,,10000,10000,10000, 36 months,8.39,315.17,B,B1,Operations director,1 year,RENT,72000,Source Verified,Feb-16,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=72614018,,credit_card,Credit card refinancing,759xx,TX,13.5,0,Sep-04,680,684,0,,,9,0,11939,66,18,w,0,0,11053.86616,11053.87,10000,1053.87,0,0,0,Oct-17,5377.19,,Mar-19,779,775,0,,1,Individual,,,,0,540,26387,1,4,0,0,28,14448,55,3,3,5933,60,18100,0,0,1,3,2932,3061,78.6,0,0,104,137,5,5,0,7,,12,,0,3,4,3,7,7,5,11,4,9,0,0,0,3,100,66.7,0,0,44343,26387,14300,26243,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
72543927,,12000,12000,12000, 60 months,13.67,277.18,C,C3,service tech,10+ years,MORTGAGE,80000,Not Verified,Feb-16,Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=72543927,,debt_consolidation,Debt consolidation,234xx,VA,24.81,0,Aug-03,665,669,0,,,12,0,26989,78.5,23,w,0,0,4114.95,4114.95,1636.37,1403.5,0,1075.08,193.5144,Feb-17,277.18,,Jul-17,519,515,0,,1,Individual,,,,0,0,137891,0,3,0,1,21,23276,58,2,3,8863,67,34400,0,0,1,4,11491,5761,81.4,0,0,143,125,8,8,2,8,,8,,0,7,8,7,11,7,8,14,8,12,0,0,0,2,100,85.7,0,0,172787,50265,30900,40387,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
