Amount Requested,Application Date,Loan Title,Risk_Score,Debt-To-Income Ratio,Zip Code,State,Employment Length,Policy Code
17000,4/21/2016,debt_consolidation,,11.07%,774xx,TX,< 1 year,0
27000,4/21/2016,debt_consolidation,,56.43%,220xx,VA,< 1 year,0
2500,4/21/2016,debt_consolidation,,21.94%,378xx,TN,< 1 year,0
5000,4/21/2016,other,,6.28%,220xx,VA,< 1 year,0
1000,4/21/2016,other,,0.44%,076xx,NJ,< 1 year,0
10000,4/21/2016,major_purchase,645,13.26%,111xx,NY,< 1 year,0
5000,4/21/2016,debt_consolidation,,16.45%,313xx,GA,5 years,0
15000,4/21/2016,credit_card,747,57.11%,146xx,NY,< 1 year,0
2000,4/21/2016,other,547,0.14%,103xx,NY,< 1 year,0
3000,4/21/2016,debt_consolidation,,9.92%,403xx,KY,< 1 year,0
15000,4/21/2016,home_improvement,,31.98%,280xx,NC,< 1 year,0
1250,4/21/2016,vacation,,1053.29%,600xx,IL,< 1 year,0
6500,4/21/2016,other,,0.71%,039xx,ME,< 1 year,0
3500,4/21/2016,car,,1.88%,329xx,FL,< 1 year,0
40000,4/21/2016,debt_consolidation,768,34.12%,191xx,PA,< 1 year,0
10000,4/21/2016,debt_consolidation,,27.53%,441xx,OH,< 1 year,0
21000,4/21/2016,debt_consolidation,,26.29%,693xx,NE,5 years,0
35000,4/21/2016,small_business,,1.03%,761xx,TX,5 years,0
1500,4/21/2016,car,,3.29%,197xx,DE,5 years,0
20000,4/21/2016,debt_consolidation,,34.60%,988xx,WA,5 years,0
20000,4/21/2016,debt_consolidation,,20.30%,923xx,CA,< 1 year,0
15000,4/21/2016,debt_consolidation,,96.04%,640xx,MO,< 1 year,0
3000,4/21/2016,debt_consolidation,,22.78%,729xx,AR,< 1 year,0
10000,4/21/2016,moving,,19.69%,605xx,IL,< 1 year,0
2500,4/21/2016,other,,20.17%,278xx,NC,< 1 year,0
6000,4/21/2016,home_improvement,,12.84%,958xx,CA,< 1 year,0
7000,4/21/2016,other,,0%,337xx,FL,< 1 year,0
5000,4/21/2016,debt_consolidation,,5.82%,913xx,CA,< 1 year,0
100000,4/21/2016,Business Loan,,-1%,882xx,NM,< 1 year,0
15000,4/21/2016,major_purchase,,7.57%,563xx,MN,< 1 year,0
5000,4/21/2016,debt_consolidation,,20.24%,630xx,MO,< 1 year,0
19900,4/21/2016,debt_consolidation,,27.96%,437xx,OH,< 1 year,0
8000,4/21/2016,debt_consolidation,,7.78%,951xx,CA,< 1 year,0
20000,4/21/2016,Debt consolidation,623,17.46%,244xx,VA,8 years,0
30000,4/21/2016,debt_consolidation,,25.74%,210xx,MD,< 1 year,0
5000,4/21/2016,other,,1.78%,330xx,FL,< 1 year,0
35000,4/21/2016,major_purchase,,4000%,913xx,CA,< 1 year,0
40000,4/21/2016,home_improvement,698,58.32%,836xx,ID,< 1 year,0
8000,4/21/2016,credit_card,,8.21%,970xx,OR,< 1 year,0
10000,4/21/2016,credit_card,,63.34%,982xx,WA,5 years,0
20000,4/21/2016,home_improvement,550,0%,494xx,MI,< 1 year,0
20000,4/21/2016,debt_consolidation,,9.24%,104xx,NY,< 1 year,0
15000,4/21/2016,credit_card,,22.91%,070xx,NJ,< 1 year,0
5500,4/21/2016,moving,,3.87%,781xx,TX,,0
1500,4/21/2016,debt_consolidation,,14.71%,288xx,NC,< 1 year,0
3500,4/21/2016,other,,1.03%,928xx,CA,5 years,0
1500,4/21/2016,debt_consolidation,,5.24%,613xx,IL,< 1 year,0
1000,4/21/2016,credit_card,,2.49%,461xx,IN,5 years,0
15000,4/21/2016,debt_consolidation,,11.84%,480xx,MI,< 1 year,0
